MAT A IS:
 1.000000e+01  1.000000e+00  2.000000e+00  3.000000e+00  4.000000e+00 
 1.000000e+00  9.000000e+00 -1.000000e+00  2.000000e+00 -3.000000e+00 
 2.000000e+00 -1.000000e+00  7.000000e+00  3.000000e+00 -5.000000e+00 
 3.000000e+00  2.000000e+00  3.000000e+00  1.200000e+01 -1.000000e+00 
 4.000000e+00 -3.000000e+00 -5.000000e+00 -1.000000e+00  1.500000e+01 

MAT B IS:
 6.994838e+00  9.365555e+00  1.655266e+00  1.580892e+01  1.917542e+01 

MAT Q IS:
 6.540830e-01  5.215112e-02  3.872969e-01 -6.237025e-01  1.745051e-01 
 1.996813e-01 -8.599639e-01 -3.662210e-01 -1.591011e-01 -2.473025e-01 
 2.565105e-01  5.055751e-01 -7.043773e-01 -2.272975e-01 -3.616417e-01 
-6.604027e-01  2.011666e-04  1.189262e-01 -6.926844e-01 -2.644109e-01 
-1.742799e-01 -4.621920e-02 -4.534231e-01 -2.328223e-01  8.412441e-01 

