
 0.0063629 0.0125427 0.0150604 0.0186920 0.0450287
 0.0643616 0.1090088 0.1273346 0.1303711 0.1309052
 0.1399078 0.1412811 0.1610107 0.1619720 0.1687469
 0.1714172 0.1720123 0.1794739 0.1891022 0.2039948
 0.2053375 0.2206573 0.2208557 0.2357178 0.2377319
 0.2530518 0.2592926 0.2614746 0.2622833 0.2743835
 0.2749786 0.2837524 0.2859650 0.2973938 0.3084412
 0.3106079 0.3259430 0.3289642 0.3456268 0.3526306
 0.3623810 0.3679504 0.3722839 0.3929749 0.4274139
 0.4380798 0.4410248 0.4421082 0.4607697 0.4768677
 0.4861298 0.4926300 0.5102386 0.5207367 0.5209808
 0.5261078 0.5390320 0.5744324 0.5748901 0.5807190
 0.5860291 0.5892181 0.6135712 0.6280975 0.6292419
 0.6351929 0.6488037 0.6552124 0.6711884 0.6789856
 0.6921387 0.6955566 0.7031555 0.7265778 0.7312622
 0.7399292 0.7424622 0.7550812 0.7607880 0.7611847
 0.7663727 0.7832031 0.7849731 0.7895966 0.7982483
 0.8361359 0.8439789 0.8593597 0.8631744 0.8729248
 0.8754578 0.8761597 0.8893585 0.8999634 0.9234924
 0.9595947 0.9615326 0.9671173 0.9886932 0.9985352

m=8
i=44
p(44)= 0.4274139
p(45)= 0.4380798
p(46)= 0.4410248
p(47)= 0.4421082
p(48)= 0.4607697
p(49)= 0.4768677
p(50)= 0.4861298
p(51)= 0.4926300

