
173.590 222.714 274.585 165.189 174.457 202.048 246.252 198.526 216.144 185.483 
238.428 134.402 170.526 132.394 247.986 157.193 159.479 252.158 121.802 101.273 
154.877 204.147 156.750 251.016 178.595 297.739 299.707 140.799 102.509 292.307 
147.546 154.996 248.492 197.226 147.144 127.982 188.422 271.872 195.374 144.131 
144.171 225.620 239.111 137.820 187.616 217.844 275.232 293.423 240.631 257.919 
150.610 245.316 275.092 205.222 162.122 277.872 112.872 169.125 256.641 125.467 
225.848 109.006 231.042 172.476 135.895 234.238 132.202 253.275 214.886 204.196 
256.995 252.237 284.698 128.256 152.295 103.738 217.206 165.793 214.978 192.154 
134.283 126.181 291.919 151.859 207.806 268.796 279.993 267.227 259.650 103.012 
126.074 272.635 161.688 188.205 227.039 152.457 235.797 133.749 229.761 141.068 

173.590 222.714 274.585 165.189 174.457 202.048 246.252 198.526 216.144 185.483 
238.428 134.402 170.526 132.394 247.986 157.193 159.479 252.158 121.802 101.273 
154.877 204.147 156.750 251.016 178.595 297.739 299.707 140.799 102.509 292.307 
103.738 109.006 112.872 125.467 127.982 128.256 132.202 135.895 137.820 144.131 
144.171 147.144 147.546 150.610 152.295 154.996 162.122 165.793 169.125 172.476 
187.616 188.422 192.154 195.374 197.226 204.196 205.222 214.886 214.978 217.206 
217.844 225.620 225.848 231.042 234.238 239.111 240.631 245.316 248.492 252.237 
253.275 256.641 256.995 257.919 271.872 275.092 275.232 277.872 284.698 293.423 
134.283 126.181 291.919 151.859 207.806 268.796 279.993 267.227 259.650 103.012 
126.074 272.635 161.688 188.205 227.039 152.457 235.797 133.749 229.761 141.068 

