
106   131   256   113   166   175   220   189   290   283   
248   222   199   277   218   179   240   289   278   223   
204   109   146   232   249   247   197   227   224   209   
134   271   188   285   258   123   216   169   190   295   
117   186   275   208   129   246   172   205   114   171   
200   292   293   298   192   102   111   156   125   226   
219   184   265   158   135   276   213   154   115   176   
225   214   159   140   267   168   185   270   183   260   
133   266   163   160   145   207   124   221   194   152   
105   126   231   244   122   211   144   182   255   108   

106   131   256   113   166   175   220   189   290   283   
248   222   199   277   218   179   240   289   278   223   
204   109   146   232   249   247   197   227   224   209   
102   111   114   115   117   123   125   129   134   135   
140   154   156   158   159   168   169   171   172   176   
183   184   185   186   188   190   192   200   205   208   
213   214   216   219   225   226   246   258   260   265   
267   270   271   275   276   285   292   293   295   298   
133   266   163   160   145   207   124   221   194   152   
105   126   231   244   122   211   144   182   255   108   

