
t=  0.000  y(0)=1.00000e+00  y(1)=0.00000e+00
t=  0.100  y(0)=9.95004e-01  y(1)=9.98334e-02
t=  0.200  y(0)=9.80067e-01  y(1)=1.98669e-01
t=  0.300  y(0)=9.55337e-01  y(1)=2.95520e-01
t=  0.400  y(0)=9.21061e-01  y(1)=3.89417e-01
t=  0.500  y(0)=8.77583e-01  y(1)=4.79425e-01
t=  0.600  y(0)=8.25336e-01  y(1)=5.64641e-01
t=  0.700  y(0)=7.64843e-01  y(1)=6.44217e-01
t=  0.800  y(0)=6.96708e-01  y(1)=7.17355e-01
t=  0.900  y(0)=6.21611e-01  y(1)=7.83326e-01
t=  1.000  y(0)=5.40304e-01  y(1)=8.41470e-01

