
t=  0.000  y(0)=0.00000e+00  y(1)=1.00000e+00
t=  0.100  y(0)=9.98334e-02  y(1)=9.95004e-01
t=  0.200  y(0)=1.98669e-01  y(1)=9.80067e-01
t=  0.300  y(0)=2.95520e-01  y(1)=9.55336e-01
t=  0.400  y(0)=3.89418e-01  y(1)=9.21061e-01
t=  0.500  y(0)=4.79426e-01  y(1)=8.77583e-01
t=  0.600  y(0)=5.64642e-01  y(1)=8.25336e-01
t=  0.700  y(0)=6.44218e-01  y(1)=7.64842e-01
t=  0.800  y(0)=7.17356e-01  y(1)=6.96707e-01
t=  0.900  y(0)=7.83327e-01  y(1)=6.21610e-01
t=   1.00  y(0)=8.41471e-01  y(1)=5.40302e-01
