
a(  0)=2.63183e+01   b(  0)=0.00000e+00
a(  1)=3.60654e+00   b(  1)=-1.26867e+01
a(  2)=6.06546e-01   b(  2)=-6.33721e+00
a(  3)=5.09912e-02   b(  3)=-4.21798e+00
a(  4)=-1.43451e-01   b(  4)=-3.15631e+00
a(  5)=-2.33449e-01   b(  5)=-2.51766e+00
a(  6)=-2.82335e-01   b(  6)=-2.09052e+00
a(  7)=-3.11810e-01   b(  7)=-1.78423e+00
a(  8)=-3.30939e-01   b(  8)=-1.55347e+00
a(  9)=-3.44052e-01   b(  9)=-1.37306e+00
a( 10)=-3.53430e-01   b( 10)=-1.22788e+00
a( 11)=-3.60367e-01   b( 11)=-1.10833e+00
a( 12)=-3.65641e-01   b( 12)=-1.00799e+00
a( 13)=-3.69744e-01   b( 13)=-9.22419e-01
a( 14)=-3.72997e-01   b( 14)=-8.48448e-01
a( 15)=-3.75620e-01   b( 15)=-7.83750e-01
a( 16)=-3.77764e-01   b( 16)=-7.26582e-01
a( 17)=-3.79539e-01   b( 17)=-6.75606e-01
a( 18)=-3.81025e-01   b( 18)=-6.29786e-01
a( 19)=-3.82280e-01   b( 19)=-5.88299e-01
a( 20)=-3.83349e-01   b( 20)=-5.50490e-01
a( 21)=-3.84267e-01   b( 21)=-5.15825e-01
a( 22)=-3.85061e-01   b( 22)=-4.83869e-01
a( 23)=-3.85750e-01   b( 23)=-4.54261e-01
a( 24)=-3.86353e-01   b( 24)=-4.26700e-01
a( 25)=-3.86883e-01   b( 25)=-4.00933e-01
a( 26)=-3.87350e-01   b( 26)=-3.76744e-01
a( 27)=-3.87764e-01   b( 27)=-3.53951e-01
a( 28)=-3.88131e-01   b( 28)=-3.32395e-01
a( 29)=-3.88459e-01   b( 29)=-3.11940e-01
a( 30)=-3.88751e-01   b( 30)=-2.92466e-01
a( 31)=-3.89013e-01   b( 31)=-2.73870e-01
a( 32)=-3.89247e-01   b( 32)=-2.56060e-01
a( 33)=-3.89457e-01   b( 33)=-2.38954e-01
a( 34)=-3.89646e-01   b( 34)=-2.22482e-01
a( 35)=-3.89816e-01   b( 35)=-2.06576e-01
a( 36)=-3.89968e-01   b( 36)=-1.91181e-01
a( 37)=-3.90104e-01   b( 37)=-1.76243e-01
a( 38)=-3.90226e-01   b( 38)=-1.61714e-01
a( 39)=-3.90335e-01   b( 39)=-1.47550e-01
a( 40)=-3.90431e-01   b( 40)=-1.33713e-01
a( 41)=-3.90517e-01   b( 41)=-1.20164e-01
a( 42)=-3.90592e-01   b( 42)=-1.06869e-01
a( 43)=-3.90657e-01   b( 43)=-9.37966e-02
a( 44)=-3.90713e-01   b( 44)=-8.09159e-02
a( 45)=-3.90760e-01   b( 45)=-6.81984e-02
a( 46)=-3.90799e-01   b( 46)=-5.56170e-02
a( 47)=-3.90829e-01   b( 47)=-4.31454e-02
a( 48)=-3.90852e-01   b( 48)=-3.07583e-02
a( 49)=-3.90867e-01   b( 49)=-1.84311e-02
a( 50)=-3.90874e-01   b( 50)=-6.13973e-03

