
9.51229e-01   8.60708e-01   7.78801e-01   7.04688e-01   
6.37628e-01   5.76950e-01   5.22046e-01   4.72367e-01   
4.27415e-01   3.86741e-01   3.49938e-01   3.16637e-01   
2.86505e-01   2.59240e-01   2.34570e-01   2.12248e-01   
1.92050e-01   1.73774e-01   1.57237e-01   1.42274e-01   
1.28735e-01   1.16484e-01   1.05399e-01   9.53692e-02   
8.62936e-02   7.80817e-02   7.06512e-02   6.39279e-02   
5.78443e-02   5.23397e-02   4.73589e-02   4.28521e-02   
3.87742e-02   3.50844e-02   3.17456e-02   2.87246e-02   
2.59911e-02   2.35177e-02   2.12797e-02   1.92547e-02   
1.74224e-02   1.57644e-02   1.42642e-02   1.29068e-02   
1.16786e-02   1.05672e-02   9.56160e-03   8.65170e-03   
7.82838e-03   7.08341e-03   6.40933e-03   5.79940e-03   
5.24752e-03   4.74815e-03   4.29630e-03   3.88746e-03   
3.51752e-03   3.18278e-03   2.87990e-03   2.60584e-03   
2.35786e-03   2.13348e-03   1.93045e-03   1.74675e-03   

9.97923e+00   5.31844e+00   2.43865e+00   1.46438e+00   
1.06110e+00   8.61244e-01   7.48900e-01   6.79837e-01   
6.34482e-01   6.03157e-01   5.80650e-01   5.63957e-01   
5.51251e-01   5.41370e-01   5.33549e-01   5.27264e-01   
5.22149e-01   5.17944e-01   5.14456e-01   5.11543e-01   
5.09098e-01   5.07039e-01   5.05301e-01   5.03836e-01   
5.02604e-01   5.01574e-01   5.00723e-01   5.00030e-01   
4.99482e-01   4.99067e-01   4.98775e-01   4.98603e-01   
4.98546e-01   4.98603e-01   4.98775e-01   4.99067e-01   
4.99482e-01   5.00030e-01   5.00723e-01   5.01574e-01   
5.02604e-01   5.03836e-01   5.05301e-01   5.07039e-01   
5.09098e-01   5.11543e-01   5.14456e-01   5.17944e-01   
5.22149e-01   5.27264e-01   5.33549e-01   5.41370e-01   
5.51251e-01   5.63957e-01   5.80650e-01   6.03157e-01   
6.34482e-01   6.79837e-01   7.48900e-01   8.61244e-01   
1.06110e+00   1.46438e+00   2.43865e+00   5.31844e+00   

0.00000e+00   -4.73967e+00   -3.82485e+00   -2.86773e+00   
-2.23986e+00   -1.81854e+00   -1.52015e+00   -1.29842e+00   
-1.12707e+00   -9.90376e-01   -8.78443e-01   -7.84768e-01   
-7.04911e-01   -6.35744e-01   -5.75000e-01   -5.20998e-01   
-4.72460e-01   -4.28403e-01   -3.88053e-01   -3.50793e-01   
-3.16123e-01   -2.83634e-01   -2.52985e-01   -2.23890e-01   
-1.96104e-01   -1.69417e-01   -1.43644e-01   -1.18622e-01   
-9.42034e-02   -7.02539e-02   -4.66483e-02   -2.32683e-02   
0.00000e+00   2.32683e-02   4.66483e-02   7.02539e-02   
9.42034e-02   1.18622e-01   1.43644e-01   1.69417e-01   
1.96104e-01   2.23890e-01   2.52985e-01   2.83634e-01   
3.16123e-01   3.50793e-01   3.88053e-01   4.28403e-01   
4.72460e-01   5.20998e-01   5.75000e-01   6.35744e-01   
7.04911e-01   7.84768e-01   8.78443e-01   9.90376e-01   
1.12707e+00   1.29842e+00   1.52015e+00   1.81854e+00   
2.23986e+00   2.86773e+00   3.82485e+00   4.73967e+00   

9.97923e+00   7.12393e+00   4.53613e+00   3.21998e+00   
2.47849e+00   2.01217e+00   1.69461e+00   1.46563e+00   
1.29339e+00   1.15959e+00   1.05300e+00   9.66389e-01   
8.94861e-01   8.35016e-01   7.84410e-01   7.41246e-01   
7.04172e-01   6.72157e-01   6.44399e-01   6.20268e-01   
5.99262e-01   5.80979e-01   5.65094e-01   5.51341e-01   
5.39507e-01   5.29414e-01   5.20919e-01   5.13908e-01   
5.08288e-01   5.03987e-01   5.00952e-01   4.99146e-01   
4.98546e-01   4.99146e-01   5.00952e-01   5.03987e-01   
5.08288e-01   5.13908e-01   5.20919e-01   5.29414e-01   
5.39507e-01   5.51341e-01   5.65094e-01   5.80979e-01   
5.99262e-01   6.20268e-01   6.44399e-01   6.72157e-01   
7.04172e-01   7.41246e-01   7.84410e-01   8.35016e-01   
8.94861e-01   9.66389e-01   1.05300e+00   1.15959e+00   
1.29339e+00   1.46563e+00   1.69461e+00   2.01217e+00   
2.47849e+00   3.21998e+00   4.53613e+00   7.12393e+00   

0.00000e+00   -4.17067e+01   -5.74792e+01   -6.29494e+01   
-6.46513e+01   -6.46581e+01   -6.37729e+01   -6.23640e+01   
-6.06228e+01   -5.86578e+01   -5.65353e+01   -5.42979e+01   
