
F(0.50, 0.000000)=0.00000e+00    F(1.00, 0.000000)=0.00000e+00
F(0.50, 0.174533)=1.74754e-01    F(1.00, 0.174533)=1.75426e-01
F(0.50, 0.349066)=3.50819e-01    F(1.00, 0.349066)=3.56378e-01
F(0.50, 0.523599)=5.29429e-01    F(1.00, 0.523599)=5.49306e-01
F(0.50, 0.698132)=7.11647e-01    F(1.00, 0.698132)=7.62910e-01
F(0.50, 0.872665)=8.98245e-01    F(1.00, 0.872665)=1.01068e+00
F(0.50, 1.047198)=1.08955e+00    F(1.00, 1.047198)=1.31696e+00
F(0.50, 1.221730)=1.28530e+00    F(1.00, 1.221730)=1.73542e+00
F(0.50, 1.396263)=1.48455e+00    F(1.00, 1.396263)=2.43625e+00
F(0.50, 1.570796)=1.68575e+00    F(1.00, 1.570796)=1.38106e+01
F(0.50, 1.745329)=1.88695e+00    F(1.00, 1.745329)=2.51850e+01

