
n=0   x= 0.050   J(n,x)=   0.9993751
n=0   x= 0.500   J(n,x)=   0.9384698
n=0   x= 5.000   J(n,x)=  -0.1775968
n=0   x=50.000   J(n,x)=   0.0558123
n=1   x= 0.050   J(n,x)=   0.0249922
n=1   x= 0.500   J(n,x)=   0.2422685
n=1   x= 5.000   J(n,x)=  -0.3275791
n=1   x=50.000   J(n,x)=  -0.0975118
n=2   x= 0.050   J(n,x)=   0.0003124
n=2   x= 0.500   J(n,x)=   0.0306040
n=2   x= 5.000   J(n,x)=   0.0465651
n=2   x=50.000   J(n,x)=  -0.0597128
n=3   x= 0.050   J(n,x)=   0.0000026
n=3   x= 0.500   J(n,x)=   0.0025637
n=3   x= 5.000   J(n,x)=   0.3648312
n=3   x=50.000   J(n,x)=   0.0927348
n=4   x= 0.050   J(n,x)=   0.0000000
n=4   x= 0.500   J(n,x)=   0.0001607
n=4   x= 5.000   J(n,x)=   0.3912324
n=4   x=50.000   J(n,x)=   0.0708410
n=5   x= 0.050   J(n,x)=   0.0000000
n=5   x= 0.500   J(n,x)=   0.0000081
n=5   x= 5.000   J(n,x)=   0.2611405
n=5   x=50.000   J(n,x)=  -0.0814002

