
 1.2386322  -1.1779938   0.5128021   1.9047699   1.5916595  
 1.1672211  -0.7747955   1.8593597   1.6634369   1.7311859  
 0.6563568  -1.4673004  -0.0460358  -0.9860992   0.3062592  
 3.9247894  -0.5367584   3.5153656  -0.3250885   0.0356293  
 0.1912689   0.2355804   0.2623138   0.3652191   3.6380463  
 1.1745453   2.0684662   0.4135590   2.3035736   4.8322601  
-0.9066315   0.1806488   2.1878510   2.2087250   1.8370209  
-0.3335114   3.2908783   0.8039398   1.2994232  -1.1289215  
 4.1126556   0.6179047   0.4805756   0.7944183  -1.3468170  
 1.6506195   2.3804779   2.4365082   1.9124603   0.9020844  

