
 0.2426453   0.3620453   0.4902954   0.7877960   0.5565491  
 0.8065643   0.0878906   0.6507721   0.2464294   0.1309662  
 0.0848999   0.5108185   0.9216614   0.3821259   0.7156982  
 0.5398102   0.4416199   0.8569183   0.4646606   0.1596222  
 0.9156799   0.1022186   0.0661621   0.0421295   0.7032166  
 0.9149017   0.5045776   0.1092072   0.4136047   0.3418427  
 0.0142822   0.5327301   0.9062195   0.6799164   0.0796509  
 0.7345734   0.2904358   0.4759979   0.4350586   0.3866119  
 0.9256287   0.5269623   0.0648804   0.4107208   0.4211731  
 0.8796844   0.2034912   0.9787750   0.6364441   0.8310394  

